config_id,alpha,beta,gamma,ridge_lambda,ratio_estimator,clipping,candidate_pool_size,adaptive_gamma,ess_floor,cond_ref,gamma_ess_scale,gamma_cond_scale,pooled_gap_mean,pooled_p_value,pooled_test,pooled_n_pairs,stability_mse_mean,pooled_mse_mean,holm_adjusted_p,stability_beats_pooled,holm_significant
cfg_0230,0.3,0.0,0.1,1e-05,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.007876291560556282,0.6217161240056541,paired_wilcoxon,25,0.08338924884302151,0.0912655404035778,1.0,True,False
cfg_0246,0.3,0.0,0.1,0.0001,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.007876285327774233,0.6217161240056541,paired_wilcoxon,25,0.08338925482930344,0.09126554015707768,1.0,True,False
cfg_0100,0.1,0.1,0.0,1e-05,gaussian_diag_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.007362124158949057,0.054371707279341486,paired_wilcoxon,25,0.08733978240524883,0.09470190656419789,1.0,True,False
cfg_0101,0.1,0.1,0.0,1e-05,gaussian_diag_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.007362124158949057,0.054371707279341486,paired_wilcoxon,25,0.08733978240524883,0.09470190656419789,1.0,True,False
cfg_0116,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.007362104596898714,0.054371707279341486,paired_wilcoxon,25,0.08733980157308238,0.0947019061699811,1.0,True,False
cfg_0117,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.007362104596898714,0.054371707279341486,paired_wilcoxon,25,0.08733980157308238,0.0947019061699811,1.0,True,False
cfg_0224,0.3,0.0,0.1,1e-05,gaussian_diag_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.007136622016024172,0.1374808087961295,paired_wilcoxon,25,0.10318681043444868,0.11032343245047282,1.0,True,False
cfg_0320,0.3,0.1,0.1,1e-05,gaussian_diag_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.007136622016024172,0.1374808087961295,paired_wilcoxon,25,0.10318681043444868,0.11032343245047282,1.0,True,False
cfg_0240,0.3,0.0,0.1,0.0001,gaussian_diag_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.0071365840596117535,0.1374808087961295,paired_wilcoxon,25,0.10318684703337765,0.1103234310929894,1.0,True,False
cfg_0336,0.3,0.1,0.1,0.0001,gaussian_diag_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.0071365840596117535,0.1374808087961295,paired_wilcoxon,25,0.10318684703337765,0.1103234310929894,1.0,True,False
cfg_0032,0.1,0.0,0.1,1e-05,gaussian_diag_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.006825693501383798,0.1374808087961295,paired_wilcoxon,25,0.10349773894908904,0.11032343245047282,1.0,True,False
cfg_0128,0.1,0.1,0.1,1e-05,gaussian_diag_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.006825693501383798,0.1374808087961295,paired_wilcoxon,25,0.10349773894908904,0.11032343245047282,1.0,True,False
cfg_0048,0.1,0.0,0.1,0.0001,gaussian_diag_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.006825655476335742,0.1374808087961295,paired_wilcoxon,25,0.10349777561665366,0.1103234310929894,1.0,True,False
cfg_0144,0.1,0.1,0.1,0.0001,gaussian_diag_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.006825655476335742,0.1374808087961295,paired_wilcoxon,25,0.10349777561665366,0.1103234310929894,1.0,True,False
cfg_0072,0.1,0.0,0.5,1e-05,logistic_ratio_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.004733547398052792,0.018350701665463064,paired_wilcoxon,25,0.08098335738165918,0.08571690477971197,1.0,True,False
cfg_0168,0.1,0.1,0.5,1e-05,logistic_ratio_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.004733547398052792,0.018350701665463064,paired_wilcoxon,25,0.08098335738165918,0.08571690477971197,1.0,True,False
cfg_0088,0.1,0.0,0.5,0.0001,logistic_ratio_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.004733524195618928,0.018350701665463064,paired_wilcoxon,25,0.08098338037873316,0.0857169045743521,1.0,True,False
cfg_0184,0.1,0.1,0.5,0.0001,logistic_ratio_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.004733524195618928,0.018350701665463064,paired_wilcoxon,25,0.08098338037873316,0.0857169045743521,1.0,True,False
cfg_0012,0.1,0.0,0.0,1e-05,logistic_ratio_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.004479763604548453,0.014014037642261659,paired_wilcoxon,25,0.08138969501455481,0.08586945861910326,1.0,True,False
cfg_0013,0.1,0.0,0.0,1e-05,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.004479763604548453,0.014014037642261659,paired_wilcoxon,25,0.08138969501455481,0.08586945861910326,1.0,True,False
cfg_0108,0.1,0.1,0.0,1e-05,logistic_ratio_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.004479763604548453,0.014014037642261659,paired_wilcoxon,25,0.08138969501455481,0.08586945861910326,1.0,True,False
cfg_0109,0.1,0.1,0.0,1e-05,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.004479763604548453,0.014014037642261659,paired_wilcoxon,25,0.08138969501455481,0.08586945861910326,1.0,True,False
cfg_0028,0.1,0.0,0.0,0.0001,logistic_ratio_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.004479752217847935,0.014014037642261659,paired_wilcoxon,25,0.08138970620151667,0.08586945841936461,1.0,True,False
cfg_0029,0.1,0.0,0.0,0.0001,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.004479752217847935,0.014014037642261659,paired_wilcoxon,25,0.08138970620151667,0.08586945841936461,1.0,True,False
cfg_0124,0.1,0.1,0.0,0.0001,logistic_ratio_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.004479752217847935,0.014014037642261659,paired_wilcoxon,25,0.08138970620151667,0.08586945841936461,1.0,True,False
cfg_0125,0.1,0.1,0.0,0.0001,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.004479752217847935,0.014014037642261659,paired_wilcoxon,25,0.08138970620151667,0.08586945841936461,1.0,True,False
cfg_0140,0.1,0.1,0.1,1e-05,logistic_ratio_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.004430408879897683,0.015005792546364369,paired_wilcoxon,25,0.0814390497392056,0.08586945861910326,1.0,True,False
cfg_0156,0.1,0.1,0.1,0.0001,logistic_ratio_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.004430396702096129,0.015005792546364369,paired_wilcoxon,25,0.08143906171726849,0.08586945841936461,1.0,True,False
cfg_0141,0.1,0.1,0.1,1e-05,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.00435164824551524,0.015005792546364369,paired_wilcoxon,25,0.08151781037358803,0.08586945861910326,1.0,True,False
cfg_0157,0.1,0.1,0.1,0.0001,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.0043516344075694305,0.015005792546364369,paired_wilcoxon,25,0.08151782401179519,0.08586945841936461,1.0,True,False
cfg_0044,0.1,0.0,0.1,1e-05,logistic_ratio_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.004323968335216509,0.015005792546364369,paired_wilcoxon,25,0.08154549028388676,0.08586945861910326,1.0,True,False
