setting,seed,method,alpha,beta,gamma,ridge_lambda,ratio_estimator,clipping,candidate_pool_size,adaptive_gamma,target_mse,ess,condition_number,ratio_uncertainty,weight_second_moment,target_excess_risk_vs_oracle,regret_gap_to_oracle_selected_source,gamma_effective
B,11,single_source_unweighted_LS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.12448027342749986,1199.999999999999,30.410148426097777,0.0,1.0,0.0017762136631191139,0.0017762136631191139,0.5282545967666183
B,11,mixed_shift_gate_plus_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.2167869388549168,185.74850719740428,11.815031823181808,0.48228885799483523,6.4603480151221095,0.09408287909053605,0.09408287909053605,0.5282545967666183
B,11,oracle_best_source_retrospective,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.12270405976438074,1200.0,40.517577614307456,0.005529102120951759,0.9999999997031735,0.0,0.0,0.5282545967666183
B,23,stability_aware_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.10903477105469747,1200.0,41.81475414240007,0.061262039645041115,0.9999999997031735,0.0,0.0,0.5373700556519125
B,23,random_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.10903477105469747,1200.0,41.81475414240007,0.061262039645041115,0.9999999997031735,0.0,0.0,0.5373700556519125
B,23,mmd_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.33980577949824,44.98433039132669,13.177616355237541,2.5977477202029515,26.675955594971903,0.2307710084435425,0.2307710084435425,0.5373700556519125
B,23,wasserstein_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.33980577949824,44.98433039132669,13.177616355237541,2.5977477202029515,26.675955594971903,0.2307710084435425,0.2307710084435425,0.5373700556519125
B,23,pooled_source_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.1417623281336277,677.9928905591653,5.305550469526717,3.858324682843056,14.159440509809102,0.03272755707893024,0.03272755707893024,0.5373700556519125
B,23,single_source_unweighted_LS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.2373771609442114,1199.999999999999,17.656909928683362,0.0,1.0,0.12834238988951394,0.12834238988951394,0.5373700556519125
B,23,mixed_shift_gate_plus_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.1279446651386309,77.0248161246278,31.485578858427843,0.6836729030814271,15.579394541275402,0.018909894083933426,0.018909894083933426,0.5373700556519125
